#RIC,Date-Time,Type,Price,Volume,Bid Price,Bid Size,Ask Price,Ask Size,direction
GSK.L,2011-02-01T16:16:21.380306000Z,Quote,,,1144,12306,1144.5,2239,0
GSK.L,2011-02-01T16:16:21.380306000Z,Quote,,,1144,12306,1144.5,1700,0
GSK.L,2011-02-01T16:16:21.380306000Z,Quote,,,1144,12306,1144.5,2030,0
GSK.L,2011-02-01T16:16:21.380306000Z,Quote,,,1144,12306,1144.5,330,0
GSK.L,2011-02-01T16:16:21.387831000Z,Quote,,,1144,12306,1144.5,869,0
GSK.L,2011-02-01T16:16:21.387831000Z,Quote,,,1144,12306,1144.5,2569,0
GSK.L,2011-02-01T16:16:21.393330000Z,Quote,,,1144,12306,1144.5,3169,0
GSK.L,2011-02-01T16:16:21.425549000Z,Quote,,,1144,12306,1144.5,2839,0
GSK.L,2011-02-01T16:16:21.452134000Z,Quote,,,1144,17095,1144.5,2839,0
GSK.L,2011-02-01T16:16:21.478773000Z,Quote,,,1144,17095,1144.5,2239,0
GSK.L,2011-02-01T16:16:21.478773000Z,Quote,,,1144,17425,1144.5,2239,0
GSK.L,2011-02-01T16:16:21.478773000Z,Quote,,,1144,23125,1144.5,2239,0
GSK.L,2011-02-01T16:16:21.531744000Z,Quote,,,1144,17425,1144.5,2239,0
GSK.L,2011-02-01T16:16:21.532868000Z,Trade,1144.5,539,1144,,1144.5,,1
GSK.L,2011-02-01T16:16:21.532868000Z,Trade,1144.5,1700,1144,,1144.5,,1
GSK.L,2011-02-01T16:16:21.532868000Z,Quote,,,1144,17425,1145,31428,0
GSK.L,2011-02-01T16:16:21.532868000Z,Quote,,,1144,17425,1144.5,1100,0
GSK.L,2011-02-01T16:16:21.543656000Z,Quote,,,1144,17095,1144.5,1100,0
GSK.L,2011-02-01T16:16:21.543656000Z,Quote,,,1144,17095,1144.5,1430,0
GSK.L,2011-02-01T16:16:21.543656000Z,Quote,,,1144,17095,1144.5,330,0
GSK.L,2011-02-01T16:16:21.543656000Z,Quote,,,1144,17095,1144.5,1430,0
GSK.L,2011-02-01T16:16:21.553051000Z,Quote,,,1144,17095,1144.5,930,0
GSK.L,2011-02-01T16:16:21.565910000Z,Quote,,,1144,17095,1144.5,600,0
GSK.L,2011-02-01T16:16:21.565910000Z,Quote,,,1144,17425,1144.5,600,0
GSK.L,2011-02-01T16:16:21.568727000Z,Quote,,,1144,17425,1145,31428,0
GSK.L,2011-02-01T16:16:22.424453000Z,Quote,,,1144,17425,1145,32233,0
GSK.L,2011-02-01T16:16:22.433944000Z,Quote,,,1144,17425,1145,32994,0
GSK.L,2011-02-01T16:16:22.784099000Z,Quote,,,1144,17558,1145,32994,0
GSK.L,2011-02-01T16:16:22.803992000Z,Quote,,,1144,17558,1145,32189,0
GSK.L,2011-02-01T16:16:22.803992000Z,Quote,,,1144,18467,1145,32189,0
GSK.L,2011-02-01T16:16:22.803992000Z,Quote,,,1144,18867,1145,32189,0
GSK.L,2011-02-01T16:16:22.803992000Z,Quote,,,1144,18867,1145,31428,0
GSK.L,2011-02-01T16:16:22.803992000Z,Quote,,,1144,18867,1145,30834,0
GSK.L,2011-02-01T16:16:22.803992000Z,Quote,,,1144,19417,1145,30834,0
GSK.L,2011-02-01T16:16:22.803992000Z,Quote,,,1144,19417,1145,25134,0
GSK.L,2011-02-01T16:16:22.803992000Z,Quote,,,1144.5,600,1145,25134,0
GSK.L,2011-02-01T16:16:22.816844000Z,Quote,,,1144.5,600,1145,21754,0
GSK.L,2011-02-01T16:16:22.816844000Z,Quote,,,1144.5,600,1145,19520,0
